cytoband	1q43	Xq25	1q31.1	Xq23	3p12.2	8q23.1	9p24.3	10q21.1	12p12.3	14q12	17q11.2	19q11	19p13.3	21q22.12	Xq21.1	
		CT45A1				UTP23			MIR200C	SLC7A7					SNORA20|ENSG00000201660.1	
		CXorf40B				PARP10			IQSEC3	NEMF					SNORA48|ENSG00000212214.1	
		MIR450A1				C8orf76			ZNF705A	CPNE6					RN7SL578P	
		MIR363				TIGD5			SMCO3	AKAP6					snoU13|ENSG00000251848.1	
		MIR20B				NUDCD1			PRB2	KIAA0391					LINC00102|ENSG00000230542.1	
		MIR18B				FAM83A			LRTM2	KIAA0586					CD99P1|ENSG00000223773.2	
		MIR450A2				PPP1R16A			MIR614	DLGAP5					LINC00106|ENSG00000236871.2	
		MIR503				TSPYL5			SLC15A5	TOX4					SLC25A6|ENSG00000169100.8	
		MIR513A1				MED30			MIR3649	REC8					RN7SL355P|ENSG00000265350.1	
		MIR513A2				ZNF251				PARP2					RNA5SP498|ENSG00000223274.1	
		MIR506				KIFC2				CNIH					MIR3690|ENSG00000265658.1	
		MIR507				TMEM67				DHRS2					LINC00685|ENSG00000226179.1	
		MIR508				MTDH				EFS					PLCXD1|ENSG00000182378.8	
		MIR510				PKHD1L1				IRF9					ABCB7	
		MIR514A1				NAPRT1				PRMT5					AGTR2	
		MIR514A2				TBC1D31				SEC23A					ALAS2	
		MIR514A3				TP53INP1				TM9SF1					ABCD1	
		CT47B1				MFSD3				EXOC5					AMELX	
		CT47A7				MAL2				CGRRF1					SLC25A5	
		MIR542				CSMD3				EDDM3A					XIAP	
		CT47A10				RHPN1				DHRS4					SHROOM2	
		CT47A9				FBXO32				FERMT2					AR	
		CT47A8				SLC26A7				RIPK3					ARAF	
		CT47A6				CTHRC1				AP4S1					ARHGAP4	
		CT47A5				OSR2				WDHD1					ARHGAP6	
		CT47A4				TOP1MT				BAZ1A					ARR3	
		CT47A3				ZNF572				MAP4K5					STS	
		CT47A2				FAM92A1				SUPT16H					ARSD	
		CT47A1				NDUFAF6				NID2					ARSE	
		MAGEA9B				ABRA				ATG14					ARSF	
		OPN1MW2				LYPD2				ACIN1					ASMT|ENSG00000196433.6	
		SPANXB1				TMEM71				DAAM1					ATP2B3	
		CT45A2				DCAF4L2				SAMD4A					ATP6AP1	
		MIR767				C8orf56				FAM179B					ATP7A	
		MIR450B				ANKRD46				SCFD1					ATRX	
		MIR890				FAM84B				KHNYN					AVPR2	
		MIR891B				C8orf37				SLC7A8					BGN	
		MIR888				VPS13B				KLHDC2					BMX	
		MIR892B				FAM91A1				HECTD1					BRS3	
		MIR891A				CNBD1				HEATR5A					BTK	
		MIR892A				SLC30A8				NGDN					CACNA1F	
		LINC00892				COL22A1				LRP10					S100G	
		HSFX2				SNX31				TINF2					CAPN6	
		CXorf64				TMEM64				TIMM9					CD40LG	
		SMIM9				ADCK5				OR10G3					CDR1	
		SPANXB2				TSNARE1				OR10G2					CHM	
		CMC4				C8orf47				OR4E2					CLCN4	
		PNMA6C				MAPK15				ATP5S					CLCN5	
		MIR513C				NSMCE2				CIDEB					CLIC2	
		MIR320D2				ZNF707				CHMP4A					CNGA2	
		MIR718				FAM83H				STXBP6					COL4A5	
		MIR513B				C8orf31				STRN3					COL4A6	
		MIR2114				ZFP41				SLC39A2					CSF2RA|ENSG00000198223.9	
		MIR514B				TRIQK				EMC9					CSTF2	
		MIR4330				DPY19L4				ATL1					CTAG1B	
		MIR3672				FBXO43				NIN					TEX28	
		HSFX1				GPIHBP1				ZNF219					CYBB	
						KLHL38				GMPR2					CYLC1	
						NRBP2				SLC22A17					DCX	
						ZNF517				DACT1					DDX3X	
						KIAA1875				MBIP					TIMM8A	
						TMEM249				DHRS7					DIAPH2	
						RSPO2				C14orf166					DKC1	
						SPATC1				SIX4					DLG3	
						C8orf87				GNG2					DMD	
						RBM12B				KLHL28					DNASE1L1	
						MROH5				TMEM260					DRP2	
						MAFA				HAUS4					TSC22D3	
						GDF6				PPP2R3C					DUSP9	
						SAMD12				PRPF39					EDA	
						MIR30B				C14orf119					EFNB1	
						MIR30D				FBXO34					EIF1AX	
						LRRC24				RNF31					ELF4	
						MROH6				RBM23					ELK1	
						FER1L6				DNAAF2					EMD	
						MIR548A3				C14orf105					F8	
						MIR599				MIS18BP1					F9	
						MROH1				G2E3					ACSL4	
						FAM203B				OSGEP					FANCB	
						OC90				ARHGEF40					FGD1	
						MIR875				AP5M1					FGF13	
						LRRC69				EAPP					FHL1	
						MIR1205				METTL3					FIGF	
						MIR1207				LTB4R2					FLNA	
						PVT1				SDR39U1					FMR1	
						MIR2053				RPGRIP1					AFF2	
						MIR1208				PELI2					CENPI	
						MIR3686				NDRG2					G6PD	
						MIR548AA1				NYNRIN					GABRA3	
						MIR3150B				TXNDC16					GABRE	
						MIR3610				TRMT5					GAGE2C	
						MIR378D2				HOMEZ					GATA1	
						MIR4662B				CHD8					GDI1	
						MIR4663				FANCM					GJB1	
						MIR4664				CCNB1IP1					GK	
						MIR4471				SNX6					GLA	
						MIR5680				SAV1					GPC3	
						MIR5194				C14orf93					GLRA2	
										ABHD4					GLUD2	
										NPAS3					GPM6B	
										EDDM3B					CXCR3	
										CDH24					LPAR4	
										PCNXL4					GPR34	
										METTL17					GRIA3	
										IL25					GUCY2F	
										GNPNAT1					HSD17B10	
										THTPA					HCCS	
										OR4K5					HCFC1	
										OR4K1					HMGB3	
										METTL21D					HNRNPH2	
										IPO4					HPRT1	
										L2HGDH					HTR2C	
										NUBPL					IDH3G	
										DCAF11					IDS	
										DDHD1					IGBP1	
										OR4K15					IGSF1	
										SYT16					IL2RG	
										FSCB					IL3RA|ENSG00000185291.6	
										BRMS1L					IL9R|ENSG00000124334.12	
										JPH4					IL13RA1	
										RNASE7					IL13RA2	
										INSM2					IRAK1	
										RAB2B					KAL1	
										AJUBA					KCND1	
										ZFHX2					L1CAM	
										LRRC16B					LAMP2	
										PPP1R3E					PRICKLE3	
										TMEM55B					SH2D1A	
										MAPK1IP1L					MAGEA1	
										EGLN3					MAGEA2	
										DTD2					MAGEA3	
										L3HYPDH					MAGEA4	
										TRIM9					MAGEA6	
										DHRS1					MAGEA8	
										CMTM5					MAGEA9	
										MIA2					MAGEA10	
										C14orf28					MAGEA11	
										TRAPPC6B					MAGEA12	
										RNASE11					MAGEB1	
										TPPP2					MAGEB2	
										MRPL52					MAGEB3	
										PSMB11					MAGEB4	
										OR4K14					MAOB	
										OR4L1					MCF2	
										OR11H6					MECP2	
										LRR1					CD99|ENSG00000002586.13	
										KLHDC1					MID1	
										FRMD6					FOXO4	
										SOCS4					MPP1	
										KLHL33					CITED1	
										RPL10L					MSN	
										MIPOL1					MTCP1	
										SLC38A6					MTM1	
										ABHD12B					NAP1L2	
										MDP1					NAP1L3	
										LRFN5					NDP	
										CLEC14A					NHS	
										FITM1					NONO	
										REM2					GPR143	
										TMEM30B					TBC1D25	
										MDGA2					OCRL	
										NOP9					OPHN1	
										SPTSSA					OTC	
										ADCY4					P2RY4	
										C14orf183					PAK3	
										RALGAPA1					CDK16	
										SFTA3					PDHA1	
										C14orf182					PDK3	
										GPR137C					CFP	
										TSSK4					PFKFB1	
										FAM177A1					PGK1	
										DHRS4L2					PHEX	
										C14orf39					PHKA1	
										RNASE10					PHKA2	
										OR6S1					PIGA	
										SLC35F4					PIN4	
										LRRC9					PLP1	
										C14orf23					PLP2	
										TOMM20L					PLS3	
										OR4N2					PLXNB3	
										OR4K2					POLA1	
										OR4K13					POU3F4	
										OR4K17					PPEF1	
										OR4N5					PRKX	
										OR11G2					PRPS1	
										OR11H4					PRPS2	
										RNASE9					PRRG1	
										OR5AU1					PSMD10	
										POTEG					RBBP7	
										OR11H12					OPN1LW	
										RNASE13					RENBP	
										OR4Q3					RP2	
										OR4M1					RPGR	
										RNASE12					RPL10	
										POTEM					RPL39	
										TMEM253					RPL36A	
										CBLN3					RPS6KA3	
										CCDC175					RS1	
										MIR4307					SAT1	
										MIR548Y					SCML1	
										MIR4707					TRAPPC2	
										MIR5580					SH3BGRL	
										LINC00609					SHOX|ENSG00000185960.8	
															SLC6A8	
															SLC16A2	
															SMARCA1	
															SMS	
															SOX3	
															SSR4	
															SSX1	
															SSX2	
															SSX5	
															SSX4	
															CDKL5	
															SUV39H1	
															VAMP7|ENSG00000124333.10	
															SYN1	
															SYP	
															TAF1	
															TAZ	
															SERPINA7	
															TBL1X	
															DYNLT3	
															TFE3	
															TIMP1	
															TSPAN7	
															TMSB4X	
															TRO	
															TRPC5	
															UBA1	
															UBE2A	
															SLC35A2	
															KDM6A	
															VBP1	
															WAS	
															XG	
															XK	
															XPNPEP2	
															ZFX	
															ZIC3	
															ZNF711	
															ZNF182	
															ZNF41	
															ZNF75D	
															RNF113A	
															ZNF185	
															ZXDA	
															GTPBP6|ENSG00000178605.8	
															HDHD1	
															AKAP17A|ENSG00000197976.6	
															PNPLA4	
															ZRSR2	
															USP11	
															USP9X	
															RBM10	
															KDM5C	
															SMC1A	
															F8A1	
															UBL4A	
															TMEM187	
															SLC10A3	
															TKTL1	
															SRPX	
															UXT	
															CUL4B	
															IRS4	
															OGT	
															OFD1	
															IKBKG	
															PIR	
															CASK	
															ASMTL|ENSG00000169093.10	
															PAGE1	
															MTMR1	
															AKAP4	
															APLN	
															AP1S2	
															GYG2	
															FAM127A	
															SLC25A14	
															CLDN2	
															RGN	
															FAM50A	
															AIFM1	
															TMEM257	
															REPS2	
															ZBED1|ENSG00000214717.4	
															ZMYM3	
															BMP15	
															GPR50	
															MED14	
															TCEAL1	
															RAB33A	
															ITM2A	
															ARHGEF6	
															PCYT1B	
															MAGED1	
															XAGE2B	
															XAGE1D	
															PAGE4	
															MORF4L2	
															GPRASP1	
															STARD8	
															FRMPD4	
															PHF16	
															ARMCX2	
															HEPH	
															MAGEC1	
															AMMECR1	
															MED12	
															ZBTB33	
															HDAC6	
															MAMLD1	
															HUWE1	
															PQBP1	
															BCAP31	
															GPR64	
															ATP6AP2	
															TENM1	
															SSX3	
															TIMM17B	
															SPRY3|ENSG00000168939.6	
															RRAGB	
															SCML2	
															SLC9A6	
															ENOX2	
															PRDX4	
															EBP	
															STAG2	
															RAI2	
															PLAC1	
															UTP14A	
															ZNF275	
															PGRMC1	
															MAGED2	
															MSL3	
															TMSB15A	
															PIM2	
															WDR45	
															TREX2	
															PRAF2	
															CA5B	
															SLC6A14	
															KLF8	
															VSIG4	
															CNKSR2	
															IQSEC2	
															PHF8	
															SEPT6	
															ARHGEF9	
															ATP1B4	
															ACOT9	
															KCNE1L	
															LDOC1	
															SMPX	
															GSPT2	
															KIF4A	
															FTSJ1	
															CXorf27	
															MXRA5	
															EGFL6	
															FAM127B	
															IL1RAPL2	
															ITGB1BP2	
															SRPK3	
															VCX	
															GAGE12I	
															GAGE2E	
															NGFRAP1	
															NOX1	
															FAM155B	
															GPR82	
															SRPX2	
															RBMX	
															PCDH11X	
															P2RY10	
															HTATSF1	
															PCSK1N	
															PPP2R3B|ENSG00000167393.12	
															CCDC22	
															MAGEH1	
															FAM156A	
															C1GALT1C1	
															SNX12	
															RPA4	
															PNMA3	
															UBQLN2	
															SH3KBP1	
															CTAG2	
															NSDHL	
															FOXP3	
															TBX22	
															ZDHHC9	
															RLIM	
															WBP5	
															RAB9B	
															LUZP4	
															PDZD11	
															PBDC1	
															TFDP3	
															TLR7	
															ARMCX1	
															TLR8	
															MBTPS2	
															MAGEC2	
															VGLL1	
															VCX2	
															VCX3A	
															ARMCX3	
															TAF9B	
															RBMX2	
															MST4	
															CPXCR1	
															CHIC1	
															FTHL17	
															GPR173	
															NLGN3	
															SASH3	
															TAF7L	
															SPIN2A	
															ARMCX6	
															WDR44	
															NDUFB11	
															ERCC6L	
															NUP62CL	
															GDPD2	
															BCOR	
															TBC1D8B	
															FAM120C	
															GEMIN8	
															CXorf48	
															TMEM255A	
															CXorf57	
															NUDT11	
															TMLHE	
															SAGE1	
															PLXNA3	
															HAUS7	
															OTUD5	
															ZNF280C	
															MTMR8	
															KRBOX4	
															TXLNG	
															MBNL3	
															WWC3	
															BEX1	
															HDAC8	
															ZC4H2	
															NXT2	
															NKRF	
															NXF5	
															NXF3	
															NXF2	
															KLHL4	
															TEX13B	
															TEX13A	
															TEX11	
															MOSPD1	
															BEX4	
															CTPS2	
															CHST7	
															TCEAL7	
															GRIPAP1	
															THOC2	
															ZNF630	
															TMEM27	
															SHROOM4	
															KIAA1210	
															NLGN4X	
															PCDH19	
															RGAG1	
															PDZD4	
															LRCH2	
															MAGEE1	
															RAP2C	
															MID1IP1	
															ACE2	
															TMEM35	
															FAM3A	
															EDA2R	
															NYX	
															BCORL1	
															DUSP21	
															CXorf56	
															DMRTC1	
															TSPYL2	
															TNMD	
															CRLF2|ENSG00000205755.6	
															PJA1	
															SPANXC	
															WDR13	
															PORCN	
															ARMCX5	
															UPF3B	
															WNK3	
															PRRG3	
															APOO	
															BRCC3	
															HMGN5	
															NKAP	
															RNF128	
															MAP7D3	
															MORC4	
															CXorf36	
															LONRF3	
															ALG13	
															TCEAL4	
															TRMT2B	
															POF1B	
															CXorf21	
															KLHL15	
															ESX1	
															BHLHB9	
															MAGED4B	
															LAS1L	
															GPR101	
															TMEM47	
															CD99L2	
															H2AFB3	
															USP26	
															MAGT1	
															TMEM164	
															PHF6	
															FRMPD3	
															ZMAT1	
															RHOXF2	
															TMEM185A	
															SLITRK2	
															GPR174	
															BEX2	
															SLC7A3	
															TCEAL3	
															CCNB3	
															PPP1R3F	
															FATE1	
															CCDC120	
															TSR2	
															HS6ST2	
															FRMD7	
															KLHL13	
															TGIF2LX	
															FAM104B	
															PAGE5	
															TCEAL8	
															CHRDL1	
															CXorf40A	
															FAM58A	
															RIPPLY1	
															ATXN3L	
															SLC38A5	
															MMGT1	
															ACRC	
															SYTL4	
															SYTL5	
															PNMA5	
															GPRASP2	
															ATG4A	
															RAB39B	
															DACH2	
															SLITRK4	
															SPANXN3	
															MAGEC3	
															BEND2	
															PASD1	
															DCAF12L1	
															PIH1D3	
															MUM1L1	
															FAM199X	
															AMER1	
															HDX	
															FUNDC1	
															GPR112	
															MAGEB10	
															DCAF8L1	
															OTUD6A	
															UPRT	
															MAGEE2	
															MAGEB16	
															FOXR2	
															GAB3	
															PNCK	
															ZFP92	
															ACTRT1	
															GPR119	
															PAGE3	
															RBMXL3	
															DOCK11	
															SPIN4	
															ASB11	
															ASB9	
															TCEAL2	
															PABPC5	
															RAB40A	
															ASB12	
															AMOT	
															ZNF645	
															CSAG1	
															FMR1NB	
															FAAH2	
															ZXDB	
															FAM47A	
															MOSPD2	
															ARHGAP36	
															RIBC1	
															AKAP14	
															RHOXF1	
															NKAPP1	
															MAGEB6	
															AWAT1	
															AWAT2	
															ZDHHC15	
															USP51	
															H2BFWT	
															FAM122B	
															FAM122C	
															DDX53	
															FAM46D	
															FAM47B	
															CXorf22	
															ZCCHC12	
															ARX	
															XAGE3	
															XAGE5	
															NUDT10	
															FAM9A	
															FAM9B	
															FAM9C	
															CXorf61	
															SLC25A43	
															ZCCHC5	
															NRK	
															DDX26B	
															ZNF449	
															VMA21	
															TMEM31	
															PAGE2	
															DHRSX|ENSG00000169084.8	
															CTAG1A	
															BRWD3	
															CXorf58	
															CT47A11	
															CXorf23	
															MAP7D2	
															KLHL34	
															TAB3	
															SSX6	
															SSX7	
															SSX9	
															RAB40AL	
															ATP11C	
															LINC00632	
															H2BFM	
															YIPF6	
															CHDC2	
															FAM133A	
															MAGEB18	
															TMSB15B	
															P2RY8|ENSG00000182162.5	
															RGAG4	
															NHSL2	
															PABPC1L2A	
															KIAA2022	
															BEX5	
															TCEAL5	
															VSIG1	
															ZC3H12B	
															SATL1	
															LHFPL1	
															CXorf67	
															ZNF81	
															ITIH6	
															LANCL3	
															SOWAHD	
															OR13H1	
															CCDC160	
															CXorf66	
															DGAT2L6	
															RAB41	
															ARSH	
															MAGEB5	
															MAP3K15	
															SPACA5	
															USP27X	
															PAGE2B	
															ZCCHC13	
															UBE2NL	
															ARL13A	
															SLC25A53	
															XKRX	
															YY2	
															MIR106A	
															MIR19B2	
															MIR221	
															MIR222	
															MIR223	
															MIR92A2	
															VCX3B	
															GLRA4	
															FAM127C	
															CT45A3	
															CT45A4	
															CT45A5	
															SPANXN4	
															PGAM4	
															FAM47C	
															MIR325	
															MIR374A	
															SPIN2B	
															H2AFB2	
															H2AFB1	
															SPANXN2	
															MIR503HG	
															CT45A6	
															CT45A1	
															CXorf40B	
															SSX4B	
															MIR450A1	
															MIR363	
															MIR20B	
															MIR18B	
															MIR450A2	
															MIR503	
															MIR513A1	
															MIR513A2	
															MIR506	
															MIR507	
															MIR508	
															MIR510	
															MIR514A1	
															MIR514A2	
															MIR514A3	
															ZNF674	
															CT47B1	
															GAGE10	
															GAGE2B	
															GAGE13	
															GAGE12G	
															MAGEB17	
															PABPC1L2B	
															NAP1L6	
															XAGE1C	
															XAGE1E	
															XAGE1A	
															XAGE1B	
															CT47A7	
															MIR545	
															MIR542	
															MIR421	
															MIR651	
															CXorf31	
															SSX2B	
															FAM156B	
															CT47A10	
															CT47A9	
															CT47A8	
															CT47A6	
															CT47A5	
															CT47A4	
															CT47A3	
															CT47A2	
															CT47A1	
															MAGED4	
															MAGEA9B	
															NXF2B	
															OPN1MW2	
															DMRTC1B	
															SPANXB1	
															CT45A2	
															SPACA5B	
															GAGE12J	
															GAGE2D	
															GAGE12C	
															GAGE12B	
															GAGE12E	
															GAGE12H	
															GAGE2A	
															MIR767	
															GAGE12F	
															MIR450B	
															MIR890	
															MIR891B	
															MIR888	
															MIR892B	
															MIR374B	
															MIR891A	
															MIR892A	
															LINC00892	
															CXorf28	
															HSFX2	
															CXorf64	
															ARMCX4	
															GAGE12D	
															SMIM9	
															SPANXB2	
															CMC4	
															PNMA6C	
															MIR513C	
															MIR1468	
															MIR1912	
															MIR1298	
															MIR320D2	
															MIR548I4	
															MIR548M	
															MIR718	
															MIR513B	
															MIR764	
															MIR2114	
															MIR514B	
															MIR4330	
															MTRNR2L10	
															MIR3937	
															MIR3672	
															HSFX1	
															MIR4769	
															MIR1587	
															MIR548AJ2	
															MIR4770	
															MIR4767	
															TCP11X2	
